	scaler_log_reg	scaler_r_forest	scaler_g_boost
0	tpnf	t8	t8
1	%blasto	t4	t4
2	t2	tpnf	%blasto
3	t8	t2	tpnf
4	%fert	%blasto	t2
5	t4	%fert	%fert
6	#blasto	#blasto	#blasto
