	fold_0	fold_1	fold_2	fold_3	fold_4	fold_5	fold_6	fold_7	fold_8	fold_9	mean
tpnf	1,44	1,43	1,46	1,09	1,4	1,17	1,39	1,32	1,42	1,61	1,37
%blasto	0,854	0,893	0,807	0,921	0,875	0,805	0,878	0,806	0,7	0,737	0,828
t2	0,675	0,641	0,674	0,484	0,644	0,443	0,589	0,607	0,729	0,834	0,632
t8	0,393	0,519	0,414	0,446	0,569	0,483	0,438	0,511	0,539	0,454	0,477
%fert	0,29	0,28	0,39	0,364	0,371	0,355	0,362	0,418	0,472	0,431	0,373
t4	0,12	0,0684	0,141	0,0793	0,0316	0,0715	0,033	0,206	0,138	0,0487	0,0937
#blasto	0,118	0,103	0,00397	0,0752	0,0734	0,0509	0,143	0,0644	0,0156	0,00517	0,0653
