	fold_0	fold_1	fold_2	fold_3	fold_4	fold_5	fold_6	fold_7	fold_8	fold_9	mean
t8	0,184	0,196	0,187	0,188	0,199	0,189	0,207	0,194	0,209	0,194	0,195
t4	0,193	0,184	0,186	0,174	0,184	0,174	0,171	0,195	0,18	0,174	0,182
tpnf	0,156	0,151	0,161	0,169	0,158	0,17	0,162	0,151	0,167	0,159	0,161
t2	0,154	0,167	0,16	0,142	0,144	0,143	0,146	0,15	0,146	0,147	0,15
%blasto	0,14	0,145	0,135	0,153	0,137	0,146	0,121	0,136	0,127	0,144	0,138
%fert	0,0947	0,0783	0,087	0,0983	0,0964	0,0903	0,115	0,103	0,101	0,0968	0,0961
#blasto	0,077	0,079	0,085	0,0759	0,0804	0,0872	0,078	0,0698	0,0702	0,0848	0,0787
