	fold_0	fold_1	fold_2	fold_3	fold_4	fold_5	fold_6	fold_7	fold_8	fold_9	mean
t4	0,187	0,21	0,225	0,202	0,197	0,198	0,204	0,207	0,195	0,2	0,202
t8	0,197	0,2	0,184	0,194	0,215	0,207	0,188	0,19	0,186	0,2	0,196
t2	0,161	0,173	0,157	0,175	0,156	0,165	0,169	0,166	0,177	0,17	0,167
tpnf	0,165	0,151	0,15	0,141	0,149	0,146	0,151	0,144	0,158	0,151	0,151
%blasto	0,118	0,113	0,0952	0,101	0,111	0,102	0,11	0,117	0,109	0,106	0,108
%fert	0,0931	0,0785	0,0901	0,0942	0,0812	0,082	0,0962	0,0943	0,0895	0,0917	0,0891
#blasto	0,0791	0,0743	0,0995	0,093	0,0907	0,1	0,0809	0,0814	0,086	0,0815	0,0867
