	fold_0	fold_1	fold_2	fold_3	fold_4	fold_5	fold_6	fold_7	fold_8	fold_9	mean
t4	0,226	0,323	0,31	0,242	0,294	0,198	0,279	0,272	0,273	0,336	0,275
t8	0,261	0,211	0,163	0,202	0,247	0,304	0,218	0,165	0,165	0,182	0,212
tpnf	0,155	0,15	0,124	0,142	0,123	0,155	0,148	0,162	0,168	0,108	0,143
t2	0,128	0,141	0,155	0,16	0,11	0,113	0,114	0,128	0,149	0,132	0,133
#blasto	0,0511	0,0885	0,118	0,0918	0,1	0,0847	0,0955	0,118	0,0976	0,0518	0,0897
%fert	0,0852	0,0393	0,0715	0,0883	0,0605	0,0716	0,0823	0,0749	0,0918	0,0912	0,0757
%blasto	0,0935	0,0483	0,0594	0,0742	0,0653	0,0733	0,0631	0,0797	0,0556	0,0984	0,0711
