	fold_0	fold_1	fold_2	fold_3	fold_4	fold_5	fold_6	fold_7	fold_8	fold_9	mean
t2	0,521	0,765	0,506	0,672	0,653	0,577	0,548	0,594	0,517	0,547	0,59
t4	0,43	0,68	0,745	0,596	0,548	0,589	0,473	0,61	0,572	0,54	0,578
#blasto	0,301	0,331	0,438	0,454	0,286	0,407	0,348	0,404	0,44	0,324	0,373
t8	0,43	0,283	0,359	0,301	0,4	0,536	0,34	0,338	0,334	0,325	0,365
%blasto	0,4	0,385	0,318	0,256	0,415	0,347	0,335	0,333	0,215	0,366	0,337
tpnf	0,336	0,424	0,274	0,36	0,249	0,374	0,212	0,175	0,123	0,2	0,273
%fert	0,0647	0,0986	0,0224	0,037	0,096	0,0847	0,0539	0,098	0,165	0,0029	0,0723
