	fold_0	fold_1	fold_2	fold_3	fold_4	fold_5	fold_6	fold_7	fold_8	fold_9	mean
t2	0,626	0,562	0,547	0,651	0,45	0,62	0,59	0,761	0,541	0,565	0,591
t4	0,483	0,581	0,567	0,52	0,661	0,446	0,47	0,812	0,644	0,597	0,578
#blasto	0,303	0,33	0,406	0,399	0,415	0,298	0,473	0,423	0,357	0,327	0,373
t8	0,294	0,324	0,323	0,338	0,316	0,45	0,611	0,323	0,27	0,404	0,365
%blasto	0,298	0,332	0,333	0,262	0,278	0,458	0,273	0,347	0,446	0,359	0,339
tpnf	0,18	0,151	0,303	0,264	0,322	0,301	0,32	0,554	0,25	0,147	0,279
%fert	0,0274	0,0506	0,135	0,106	0,0636	0,0673	0,0568	0,0593	0,0395	0,101	0,0706
