	fold_0	fold_1	fold_2	fold_3	fold_4	fold_5	fold_6	fold_7	fold_8	fold_9	mean
t4	0,265	0,293	0,221	0,273	0,285	0,24	0,197	0,283	0,27	0,246	0,257
t8	0,162	0,2	0,244	0,229	0,186	0,217	0,285	0,159	0,222	0,25	0,215
t2	0,201	0,121	0,163	0,155	0,15	0,135	0,142	0,142	0,0885	0,157	0,146
tpnf	0,135	0,116	0,16	0,133	0,136	0,158	0,143	0,134	0,162	0,154	0,143
#blasto	0,0117	0,0729	0,115	0,115	0,105	0,0826	0,108	0,0884	0,0753	0,0906	0,0864
%fert	0,112	0,117	0,0606	0,0675	0,0709	0,0955	0,0608	0,0906	0,0892	0,0422	0,0807
%blasto	0,113	0,0797	0,0356	0,0272	0,0663	0,0723	0,0634	0,103	0,0927	0,06	0,0713
