	fold_0	fold_1	fold_2	fold_3	fold_4	fold_5	fold_6	fold_7	fold_8	fold_9	mean
t4	0,19	0,201	0,208	0,193	0,206	0,194	0,19	0,201	0,206	0,207	0,2
t8	0,177	0,192	0,179	0,193	0,192	0,203	0,213	0,177	0,19	0,204	0,192
t2	0,194	0,172	0,17	0,179	0,157	0,169	0,157	0,154	0,168	0,163	0,168
tpnf	0,154	0,16	0,162	0,164	0,147	0,146	0,157	0,155	0,145	0,151	0,154
%blasto	0,113	0,103	0,0951	0,099	0,109	0,114	0,111	0,135	0,112	0,094	0,108
%fert	0,0982	0,0949	0,0886	0,0903	0,0955	0,092	0,0862	0,0966	0,093	0,0779	0,0913
#blasto	0,073	0,0779	0,097	0,0813	0,0926	0,0824	0,0859	0,0818	0,0853	0,103	0,086
