	auc	accuracy	cohen-kappa	TP	FP	FN	TN	NO_precision	NO_recall	NO_f1-score	NO_support	SI_precision	SI_recall	SI_f1-score	SI_support
scaler_log_reg	0.781	0.712	0.337	193	45	58.5	62.5	0.767	0.811	0.789	238	0.582	0.517	0.547	121
scaler_r_forest	0.805	0.744	0.407	200	38	54	67	0.787	0.84	0.813	238	0.638	0.554	0.593	121
scaler_g_boost	0.798	0.72	0.36	193	45	55.5	65.5	0.777	0.811	0.793	238	0.592	0.541	0.566	121
