	auc	accuracy	cohen-kappa	TP	FP	FN	TN	NO_precision	NO_recall	NO_f1-score	NO_support	SI_precision	SI_recall	SI_f1-score	SI_support
kbest_log_reg	0.706	0.669	0.133	214	24	95	26	0.693	0.899	0.782	238	0.52	0.215	0.304	121
kbest_r_forest	0.711	0.643	0.189	178	60	68	53	0.724	0.748	0.736	238	0.469	0.438	0.453	121
kbest_g_boost	0.713	0.635	0.154	181	57	74	47	0.71	0.761	0.734	238	0.452	0.388	0.418	121
sfm_log_reg	0.577	0.632	-0.00684	217	21	111	10	0.662	0.912	0.767	238	0.323	0.0826	0.132	121
sfm_r_forest	0.612	0.602	0.0404	184	54	89	32	0.674	0.773	0.72	238	0.372	0.264	0.309	121
sfm_g_boost	0.626	0.635	0.105	194	44	87	34	0.69	0.815	0.748	238	0.436	0.281	0.342	121
