	fold_0	fold_1	fold_2	fold_3	fold_4	fold_5	fold_6	fold_7	fold_8	fold_9	mean
t8	0,234	0,238	0,251	0,228	0,294	0,25	0,305	0,23	0,195	0,289	0,251
%blasto	0,217	0,211	0,176	0,235	0,201	0,22	0,184	0,187	0,234	0,161	0,203
t4	0,215	0,217	0,203	0,146	0,169	0,224	0,159	0,202	0,243	0,235	0,201
tpnf	0,17	0,183	0,165	0,169	0,122	0,13	0,147	0,169	0,158	0,129	0,154
t2	0,0602	0,0674	0,0758	0,106	0,0992	0,0824	0,0761	0,0943	0,0663	0,0937	0,0821
%fert	0,0676	0,0575	0,0846	0,0808	0,0753	0,0667	0,0942	0,0828	0,0626	0,0656	0,0738
#blasto	0,0363	0,0262	0,0453	0,0347	0,0396	0,0273	0,034	0,0336	0,041	0,0262	0,0344
