	fold_0	fold_1	fold_2	fold_3	fold_4	fold_5	fold_6	fold_7	fold_8	fold_9	mean
tpnf	1,41	1,32	1,2	1,36	1,53	1,38	1,17	1,47	1,39	1,43	1,37
%blasto	0,834	0,97	0,747	0,89	0,795	0,764	0,795	0,888	0,952	0,634	0,827
t2	0,535	0,604	0,549	0,688	0,736	0,691	0,545	0,727	0,608	0,602	0,628
t8	0,52	0,474	0,506	0,453	0,555	0,458	0,461	0,446	0,402	0,504	0,478
%fert	0,313	0,314	0,346	0,382	0,406	0,389	0,481	0,399	0,279	0,407	0,371
t4	0,0357	0,117	0,326	0,0513	0,0413	0,0966	0,0463	0,0898	0,105	0,0508	0,096
#blasto	0,0793	0,153	0,0289	0,0841	0,0465	0,0616	0,0854	0,0911	0,161	0,0651	0,0855
