	fold_0	fold_1	fold_2	fold_3	fold_4	fold_5	fold_6	fold_7	fold_8	fold_9	mean
t8	0,19	0,195	0,189	0,187	0,207	0,201	0,214	0,186	0,174	0,201	0,194
t4	0,185	0,192	0,202	0,178	0,186	0,194	0,174	0,195	0,183	0,213	0,19
tpnf	0,173	0,153	0,149	0,158	0,154	0,148	0,146	0,165	0,167	0,158	0,157
t2	0,144	0,143	0,149	0,152	0,139	0,135	0,144	0,135	0,146	0,138	0,142
%blasto	0,138	0,14	0,141	0,149	0,15	0,141	0,129	0,14	0,157	0,124	0,141
%fert	0,0935	0,0962	0,0934	0,101	0,0918	0,103	0,114	0,102	0,0949	0,0921	0,0982
#blasto	0,0764	0,0804	0,0779	0,0747	0,0715	0,0774	0,0786	0,0769	0,0779	0,0737	0,0765
